2025-11-06 17:32:47 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:47 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:48 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:48 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:49 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:49 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:50 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:50 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:51 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:51 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:52 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:52 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:53 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:53 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:54 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:54 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:55 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:55 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
